Phoneme,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
d̪,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
n̪,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
s̪,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
t̪ʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ə,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0
b̤̥,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
d̤̥,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɡ̤̥,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,-
k̟ʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-
kʲʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-
d̪̤̥,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
l̻,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
t̻,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
s̻ː,0,-,-,-,+,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
tːs,0,-,-,-,+,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
m̰,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
n̰,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
t̪ʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
k͉,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
p͉,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
t̠ʃ͉,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
t͉,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
t͉s,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
t̠ːʃ,0,-,-,-,+,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ʈ͉,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
jˀ,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,+,-,-,-,-
wˀ,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,0,0,+,-,-,+,-,-,-,-
çʲ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
kʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
kʲʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,+,-,+,-,-
ɡʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
z̪,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
f͉,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
s͉,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ʃ͉,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
bʷˠ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
mʷˠ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
pʷˠʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,+,-,-,-,-,-
ɡ̟,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ɸʷˠ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ð͉,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
n̻ʲ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
t̻ʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
ie̞,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"+,-",-,+,-,+,-,-,+,-,-,-,0,-,-,0
d̻ː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
l̻ː,0,-,-,-,+,+,+,+,0,+,-,-,-,+,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
t̻ː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
n̪ː,0,-,-,-,+,+,+,-,0,-,-,-,+,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
t̪ʰː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɜ̃,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0
p͉ʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
t͉ʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
dⁿ,0,-,-,-,-,+,-,-,-,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
t̠,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɪˤ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,-,+,-,+,-,-,-,0,-,-,0
ʊˤ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,-,+,-,+,-,-,-,0,-,-,0
ᴅ,0,-,-,-,-,+,+,+,0,+,+,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
d̪z̪,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
t̪s̪ʰ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
t̪s̪ʼ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
d̪ʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
l̪ʲ,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
s̪ʲ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
t̪s̪,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
t̪ʲ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
z̪ʲ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
d̠,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
b̰,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
d̰,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
o̞u,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,"-,+",-,-,+,+,-,-,+,-,-,-,0,-,-,0
ia̟,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"+,-","-,+",+,-,+,-,-,+,-,-,-,0,-,-,0
əi,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+",-,"-,+",-,"-,+",-,-,+,-,-,-,0,-,-,0
ŋ̰,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,+,-,-,-,-
kǃ̠,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,-,-,-,-,-,"-,+"
kpʷ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ɡbʷ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ɾ̰,0,-,-,-,-,+,+,+,0,+,+,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
xʲ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
ɣʲ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ɜː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0
ɐ̹̆,0,-,+,+,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,+,-,-,0,-,-,+,-,-,-,0,-,-,0
bʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
dzʼ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
dʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
d̠ʒʼ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
kǂʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
ŋǂ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ŋ̥ǂˀ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,-,"-,+",-,-,-,"-,+"
ɡʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,+,-,+,-,-
æi,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+","+,-",+,-,+,-,-,+,-,-,-,0,-,-,0
ŋ̥ǃ̠ʰ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
t̠ʰ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
d̠̰,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
fʷ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɾ̪,0,-,-,-,-,+,+,+,0,+,+,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
n̪ʲ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ɡǃ̠,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
iˠ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
ĩˠ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
iˤː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,+,-,+,-,-,-,0,-,-,0
ɬ̪,0,-,-,-,-,+,-,+,+,-,-,-,-,+,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ðʲ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
jʷ,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-
aˠ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,-,-,+,-,-,-,0,-,-,0
eˠ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,+,-,-,+,-,-,-,0,-,-,0
ɪˠ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,-,-,-,+,-,-,-,0,-,-,0
ŋɡʲ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,-,0,0,0,+,+,-,"-,+",-,0,0,0,+,-,-,-,-,-,-,-
βʷ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
kǀ̪,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,-,-,-,-,-,-,-,"-,+"
kǃ̪,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,-,-,-,-,-,-,-,"-,+"
ö,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,0,0,-,-,+,-,-,-,0,-,-,0
lˀ,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
bʱ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
d̠ʒʱ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
d̪ʱ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
mʱ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
nʱ,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
ɡʱ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,-
ɾʱ,0,-,-,-,-,+,+,+,0,+,+,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
